date,state,district,pincode,age_0_5,age_5_17,age_18_greater
15-09-2025,Telangana,Nalgonda,508207,7,3,0
15-09-2025,Telangana,Nalgonda,508255,2,1,0
15-09-2025,Telangana,Nalgonda,508256,1,0,0
17-09-2025,Telangana,Nalgonda,508105,3,0,0
17-09-2025,Telangana,Nalgonda,508210,1,0,0
17-09-2025,Telangana,Nalgonda,508211,2,0,0
17-09-2025,Telangana,Nalgonda,508243,1,2,0
17-09-2025,Telangana,Nalgonda,508248,3,0,0
17-09-2025,Telangana,Nalgonda,508277,1,2,0
18-09-2025,Telangana,Nalgonda,508206,1,0,0
18-09-2025,Telangana,Nalgonda,508210,1,1,0
18-09-2025,Telangana,Nalgonda,508244,5,0,0
18-09-2025,Telangana,Nalgonda,508279,0,1,0
18-09-2025,Telangana,Nalgonda,508284,2,1,0
19-09-2025,Telangana,Nalgonda,508201,1,0,0
19-09-2025,Telangana,Nalgonda,508204,2,0,0
19-09-2025,Telangana,Nalgonda,508217,1,1,0
19-09-2025,Telangana,Nalgonda,508256,1,1,0
20-09-2025,Telangana,Nalgonda,508111,1,1,0
20-09-2025,Telangana,Nalgonda,508112,0,1,0
20-09-2025,Telangana,Nalgonda,508115,1,0,0
20-09-2025,Telangana,Nalgonda,508202,0,1,0
20-09-2025,Telangana,Nalgonda,508213,3,0,0
20-09-2025,Telangana,Nalgonda,508223,1,0,0
22-09-2025,Telangana,Nalgonda,508001,3,0,0
22-09-2025,Telangana,Nalgonda,508205,1,1,0
22-09-2025,Telangana,Nalgonda,508207,8,1,0
22-09-2025,Telangana,Nalgonda,508211,3,0,0
22-09-2025,Telangana,Nalgonda,508248,1,0,0
22-09-2025,Telangana,Nalgonda,508256,2,1,0
22-09-2025,Telangana,Nalgonda,508266,1,0,0
22-09-2025,Telangana,Nalgonda,508374,1,0,0
22-09-2025,Telangana,Nalgonda,508377,1,1,0
21-09-2025,Telangana,Nalgonda,508001,0,1,0
25-09-2025,Telangana,Nalgonda,508210,4,4,0
25-09-2025,Telangana,Nalgonda,508253,1,0,0
25-09-2025,Telangana,Nalgonda,508254,1,0,0
25-09-2025,Telangana,Nalgonda,508256,2,1,0
25-09-2025,Telangana,Nalgonda,508258,1,0,0
25-09-2025,Telangana,Nalgonda,508284,1,1,0
25-09-2025,Telangana,Nalgonda,508374,1,1,0
25-09-2025,Telangana,Nalgonda,508376,0,1,0
24-09-2025,Telangana,Nalgonda,508001,10,1,0
24-09-2025,Telangana,Nalgonda,508004,2,0,0
24-09-2025,Telangana,Nalgonda,508248,3,3,0
24-09-2025,Telangana,Nalgonda,508266,1,0,0
27-09-2025,Telangana,Nalgonda,508213,1,0,0
27-09-2025,Telangana,Nalgonda,508278,1,0,0
29-09-2025,Telangana,Nalgonda,508243,0,1,0
26-09-2025,Telangana,Nalgonda,508114,1,0,0
26-09-2025,Telangana,Nalgonda,508206,1,0,0
26-09-2025,Telangana,Nalgonda,508211,0,1,0
26-09-2025,Telangana,Nalgonda,508244,1,0,0
26-09-2025,Telangana,Nalgonda,508255,1,0,0
26-09-2025,Telangana,Nalgonda,508256,2,0,0
26-09-2025,Telangana,Nalgonda,508285,1,0,0
26-09-2025,Telangana,Nalgonda,508355,0,1,0
26-09-2025,Telangana,Nalgonda,508374,0,1,0
26-10-2025,Telangana,Nalgonda,508001,2,0,0
26-10-2025,Telangana,Nalgonda,508207,10,5,0
26-10-2025,Telangana,Nalgonda,508210,1,0,0
26-10-2025,Telangana,Nalgonda,508223,0,1,0
26-10-2025,Telangana,Nalgonda,508255,2,1,0
13-10-2025,Telangana,Nalgonda,508205,3,0,0
13-10-2025,Telangana,Nalgonda,508247,2,0,0
13-10-2025,Telangana,Nalgonda,508277,1,1,0
15-10-2025,Telangana,Nalgonda,508201,2,0,0
15-10-2025,Telangana,Nalgonda,508204,6,1,0
15-10-2025,Telangana,Nalgonda,508205,5,2,0
15-10-2025,Telangana,Nalgonda,508210,1,0,0
15-10-2025,Telangana,Nalgonda,508258,3,2,0
16-10-2025,Telangana,Nalgonda,508202,2,1,0
16-10-2025,Telangana,Nalgonda,508204,1,0,0
16-10-2025,Telangana,Nalgonda,508206,2,1,0
16-10-2025,Telangana,Nalgonda,508222,2,0,0
17-10-2025,Telangana,Nalgonda,508105,2,2,0
17-10-2025,Telangana,Nalgonda,508126,1,0,0
17-10-2025,Telangana,Nalgonda,508204,2,0,0
17-10-2025,Telangana,Nalgonda,508206,5,1,0
17-10-2025,Telangana,Nalgonda,508217,1,0,0
17-10-2025,Telangana,Nalgonda,508222,3,1,0
17-10-2025,Telangana,Nalgonda,508246,2,1,0
17-10-2025,Telangana,Nalgonda,508250,6,0,0
17-10-2025,Telangana,Nalgonda,508252,1,1,0
17-10-2025,Telangana,Nalgonda,508266,7,2,0
17-10-2025,Telangana,Nalgonda,508278,3,1,0
20-10-2025,Telangana,Nalgonda,508004,0,1,0
20-10-2025,Telangana,Nalgonda,508247,1,0,0
20-10-2025,Telangana,Nalgonda,508253,0,1,0
20-10-2025,Telangana,Nalgonda,508277,1,0,0
20-10-2025,Telangana,Nalgonda,508374,1,0,0
20-10-2025,Telangana,Nalgonda,508377,0,1,0
18-10-2025,Telangana,Nalgonda,508112,0,1,0
18-10-2025,Telangana,Nalgonda,508247,4,0,0
18-10-2025,Telangana,Nalgonda,508250,2,0,0
18-10-2025,Telangana,Nalgonda,508252,2,0,0
18-10-2025,Telangana,Nalgonda,508257,1,0,0
18-10-2025,Telangana,Nalgonda,508286,1,0,0
19-10-2025,Telangana,Nalgonda,508204,1,0,0
19-10-2025,Telangana,Nalgonda,508205,3,0,0
19-10-2025,Telangana,Nalgonda,508207,9,3,0
19-10-2025,Telangana,Nalgonda,508212,0,1,0
19-10-2025,Telangana,Nalgonda,508217,1,0,0
19-10-2025,Telangana,Nalgonda,508243,2,1,0
19-10-2025,Telangana,Nalgonda,508266,1,0,0
24-10-2025,Telangana,Nalgonda,508001,11,2,0
24-10-2025,Telangana,Nalgonda,508210,2,1,0
24-10-2025,Telangana,Nalgonda,508255,2,0,0
24-10-2025,Telangana,Nalgonda,508256,1,0,0
24-10-2025,Telangana,Nalgonda,508277,1,0,0
24-10-2025,Telangana,Nalgonda,508286,1,0,0
23-10-2025,Telangana,Nalgonda,508004,1,0,0
23-10-2025,Telangana,Nalgonda,508211,1,0,0
25-10-2025,Telangana,Nalgonda,508114,1,0,0
25-10-2025,Telangana,Nalgonda,508116,5,1,0
25-10-2025,Telangana,Nalgonda,508204,3,1,0
25-10-2025,Telangana,Nalgonda,508207,14,3,0
25-10-2025,Telangana,Nalgonda,508212,1,0,0
25-10-2025,Telangana,Nalgonda,508222,2,0,0
25-10-2025,Telangana,Nalgonda,508243,6,4,0
25-10-2025,Telangana,Nalgonda,508253,4,1,0
25-10-2025,Telangana,Nalgonda,508254,3,0,0
25-10-2025,Telangana,Nalgonda,508255,6,1,0
25-10-2025,Telangana,Nalgonda,508280,0,1,0
25-10-2025,Telangana,Nalgonda,508284,2,0,0
25-10-2025,Telangana,Nalgonda,508286,1,0,0
28-10-2025,Telangana,Nalgonda,508001,2,1,0
28-10-2025,Telangana,Nalgonda,508202,1,0,0
28-10-2025,Telangana,Nalgonda,508217,2,0,0
28-10-2025,Telangana,Nalgonda,508355,2,0,0
28-10-2025,Telangana,Nalgonda,508377,1,0,0
27-10-2025,Telangana,Nalgonda,508205,2,0,0
27-10-2025,Telangana,Nalgonda,508206,1,1,0
27-10-2025,Telangana,Nalgonda,508207,6,7,0
27-10-2025,Telangana,Nalgonda,508245,5,0,0
27-10-2025,Telangana,Nalgonda,508252,1,0,0
27-10-2025,Telangana,Nalgonda,508255,4,0,0
27-10-2025,Telangana,Nalgonda,508257,2,0,0
27-10-2025,Telangana,Nalgonda,508374,1,0,0
29-10-2025,Telangana,Nalgonda,508001,9,0,0
29-10-2025,Telangana,Nalgonda,508210,1,0,0
29-10-2025,Telangana,Nalgonda,508221,1,0,0
29-10-2025,Telangana,Nalgonda,508245,2,1,0
29-10-2025,Telangana,Nalgonda,508277,2,0,0
30-10-2025,Telangana,Nalgonda,508115,1,0,0
30-10-2025,Telangana,Nalgonda,508207,23,5,0
30-10-2025,Telangana,Nalgonda,508211,5,2,0
30-10-2025,Telangana,Nalgonda,508233,1,0,0
30-10-2025,Telangana,Nalgonda,508244,7,0,0
30-10-2025,Telangana,Nalgonda,508256,1,0,0
30-10-2025,Telangana,Nalgonda,508277,2,0,0
30-10-2025,Telangana,Nalgonda,508373,1,0,0
30-10-2025,Telangana,Nalgonda,508377,3,0,0
31-10-2025,Telangana,Nalgonda,508101,0,1,0
31-10-2025,Telangana,Nalgonda,508204,1,0,0
31-10-2025,Telangana,Nalgonda,508207,3,2,0
31-10-2025,Telangana,Nalgonda,508210,2,0,0
31-10-2025,Telangana,Nalgonda,508213,0,1,0
31-10-2025,Telangana,Nalgonda,508217,4,0,0
31-10-2025,Telangana,Nalgonda,508258,1,1,0
01-11-2025,Telangana,Nalgonda,508217,2,0,0
01-11-2025,Telangana,Nalgonda,508254,1,1,0
02-11-2025,Telangana,Nalgonda,508001,15,1,0
02-11-2025,Telangana,Nalgonda,508113,2,1,0
02-11-2025,Telangana,Nalgonda,508126,3,0,0
02-11-2025,Telangana,Nalgonda,508205,7,0,0
02-11-2025,Telangana,Nalgonda,508206,1,2,0
02-11-2025,Telangana,Nalgonda,508233,1,0,0
12-11-2025,Telangana,Nalgonda,508201,1,0,0
12-11-2025,Telangana,Nalgonda,508205,2,0,0
12-11-2025,Telangana,Nalgonda,508250,1,0,0
10-11-2025,Telangana,Nalgonda,508116,4,1,0
10-11-2025,Telangana,Nalgonda,508206,2,0,0
10-11-2025,Telangana,Nalgonda,508207,4,1,0
10-11-2025,Telangana,Nalgonda,508211,2,0,0
10-11-2025,Telangana,Nalgonda,508212,2,0,0
10-11-2025,Telangana,Nalgonda,508213,2,0,0
10-11-2025,Telangana,Nalgonda,508238,1,0,0
10-11-2025,Telangana,Nalgonda,508252,2,1,0
10-11-2025,Telangana,Nalgonda,508256,1,0,0
10-11-2025,Telangana,Nalgonda,508284,1,0,0
10-11-2025,Telangana,Nalgonda,508355,1,2,0
11-11-2025,Telangana,Nalgonda,508004,2,0,0
11-11-2025,Telangana,Nalgonda,508112,1,0,0
11-11-2025,Telangana,Nalgonda,508204,4,0,0
11-11-2025,Telangana,Nalgonda,508244,2,0,0
11-11-2025,Telangana,Nalgonda,508257,1,1,0
11-11-2025,Telangana,Nalgonda,508355,1,0,0
16-11-2025,Telangana,Nalgonda,508116,2,0,0
16-11-2025,Telangana,Nalgonda,508126,1,1,0
16-11-2025,Telangana,Nalgonda,508205,0,1,0
16-11-2025,Telangana,Nalgonda,508250,4,1,0
16-11-2025,Telangana,Nalgonda,508256,0,1,0
16-11-2025,Telangana,Nalgonda,508374,2,0,0
16-11-2025,Telangana,Nalgonda,508377,1,0,0
15-11-2025,Telangana,Nalgonda,508112,2,0,0
15-11-2025,Telangana,Nalgonda,508238,2,0,0
15-11-2025,Telangana,Nalgonda,508244,1,2,0
15-11-2025,Telangana,Nalgonda,508252,3,0,0
15-11-2025,Telangana,Nalgonda,508253,2,1,0
15-11-2025,Telangana,Nalgonda,508258,4,3,0
15-11-2025,Telangana,Nalgonda,508284,5,0,0
15-11-2025,Telangana,Nalgonda,508286,1,0,0
15-11-2025,Telangana,Nalgonda,508376,3,0,0
03-11-2025,Telangana,Nalgonda,508004,2,0,0
03-11-2025,Telangana,Nalgonda,508112,1,0,0
03-11-2025,Telangana,Nalgonda,508211,1,0,0
03-11-2025,Telangana,Nalgonda,508245,1,0,0
03-11-2025,Telangana,Nalgonda,508250,1,0,0
03-11-2025,Telangana,Nalgonda,508258,1,1,0
03-11-2025,Telangana,Nalgonda,508284,1,1,0
05-11-2025,Telangana,Nalgonda,508004,1,0,0
05-11-2025,Telangana,Nalgonda,508111,1,0,0
05-11-2025,Telangana,Nalgonda,508201,0,1,0
05-11-2025,Telangana,Nalgonda,508207,4,2,0
05-11-2025,Telangana,Nalgonda,508221,1,0,0
05-11-2025,Telangana,Nalgonda,508245,1,0,0
05-11-2025,Telangana,Nalgonda,508248,2,2,0
05-11-2025,Telangana,Nalgonda,508258,0,1,0
05-11-2025,Telangana,Nalgonda,508278,2,0,0
05-11-2025,Telangana,Nalgonda,508284,2,0,0
07-11-2025,Telangana,Nalgonda,508101,1,0,0
07-11-2025,Telangana,Nalgonda,508202,2,0,0
07-11-2025,Telangana,Nalgonda,508204,1,0,0
07-11-2025,Telangana,Nalgonda,508211,2,0,0
07-11-2025,Telangana,Nalgonda,508245,2,1,0
07-11-2025,Telangana,Nalgonda,508248,6,2,0
07-11-2025,Telangana,Nalgonda,508280,1,1,0
07-11-2025,Telangana,Nalgonda,508284,2,0,0
07-11-2025,Telangana,Nalgonda,508355,1,0,0
06-11-2025,Telangana,Nalgonda,508001,3,0,0
06-11-2025,Telangana,Nalgonda,508254,2,1,0
06-11-2025,Telangana,Nalgonda,508266,1,0,0
06-11-2025,Telangana,Nalgonda,508278,1,1,0
06-11-2025,Telangana,Nalgonda,508284,0,1,0
08-11-2025,Telangana,Nalgonda,508114,1,1,0
08-11-2025,Telangana,Nalgonda,508205,4,0,0
08-11-2025,Telangana,Nalgonda,508245,2,0,0
08-11-2025,Telangana,Nalgonda,508250,1,0,0
08-11-2025,Telangana,Nalgonda,508256,1,0,0
08-11-2025,Telangana,Nalgonda,508278,1,0,0
08-11-2025,Telangana,Nalgonda,508286,1,0,0
08-11-2025,Telangana,Nalgonda,508373,0,1,0
08-11-2025,Telangana,Nalgonda,508377,1,0,0
09-11-2025,Telangana,Nalgonda,508126,1,1,0
09-11-2025,Telangana,Nalgonda,508213,2,1,0
09-11-2025,Telangana,Nalgonda,508221,0,1,0
09-11-2025,Telangana,Nalgonda,508247,1,0,0
09-11-2025,Telangana,Nalgonda,508253,1,0,0
09-11-2025,Telangana,Nalgonda,508266,3,0,0
09-11-2025,Telangana,Nalgonda,508373,1,0,0
13-11-2025,Telangana,Nalgonda,508001,3,1,0
13-11-2025,Telangana,Nalgonda,508114,1,0,0
13-11-2025,Telangana,Nalgonda,508213,1,0,0
13-11-2025,Telangana,Nalgonda,508217,1,0,0
13-11-2025,Telangana,Nalgonda,508248,2,0,0
13-11-2025,Telangana,Nalgonda,508254,1,0,0
13-11-2025,Telangana,Nalgonda,508284,3,0,0
14-11-2025,Telangana,Nalgonda,508001,5,1,0
14-11-2025,Telangana,Nalgonda,508116,2,1,0
14-11-2025,Telangana,Nalgonda,508213,1,0,0
14-11-2025,Telangana,Nalgonda,508257,1,0,0
14-11-2025,Telangana,Nalgonda,508258,1,1,0
14-11-2025,Telangana,Nalgonda,508278,1,0,0
14-11-2025,Telangana,Nalgonda,508355,3,0,0
14-11-2025,Telangana,Nalgonda,508374,2,2,0
17-11-2025,Telangana,Nalgonda,508105,2,0,0
17-11-2025,Telangana,Nalgonda,508202,1,0,0
17-11-2025,Telangana,Nalgonda,508245,1,0,0
17-11-2025,Telangana,Nalgonda,508246,1,0,0
17-11-2025,Telangana,Nalgonda,508254,1,0,0
18-11-2025,Telangana,Nalgonda,508004,1,0,0
18-11-2025,Telangana,Nalgonda,508115,1,1,0
18-11-2025,Telangana,Nalgonda,508202,4,0,0
18-11-2025,Telangana,Nalgonda,508206,4,1,0
18-11-2025,Telangana,Nalgonda,508217,4,0,0
18-11-2025,Telangana,Nalgonda,508248,4,2,0
18-11-2025,Telangana,Nalgonda,508256,1,0,0
18-11-2025,Telangana,Nalgonda,508266,1,0,0
18-11-2025,Telangana,Nalgonda,508280,1,0,0
18-11-2025,Telangana,Nalgonda,508374,7,0,0
19-11-2025,Telangana,Nalgonda,508114,3,0,0
19-11-2025,Telangana,Nalgonda,508221,1,0,0
19-11-2025,Telangana,Nalgonda,508223,1,0,0
19-11-2025,Telangana,Nalgonda,508244,5,1,0
19-11-2025,Telangana,Nalgonda,508255,4,2,0
19-11-2025,Telangana,Nalgonda,508266,2,0,0
19-11-2025,Telangana,Nalgonda,508285,1,0,0
19-11-2025,Telangana,Nalgonda,508355,1,1,0
19-11-2025,Telangana,Nalgonda,508376,2,0,0
25-11-2025,Telangana,Nalgonda,508101,0,1,0
25-11-2025,Telangana,Nalgonda,508204,1,0,0
25-11-2025,Telangana,Nalgonda,508206,1,0,0
25-11-2025,Telangana,Nalgonda,508221,0,1,0
25-11-2025,Telangana,Nalgonda,508255,4,1,0
25-11-2025,Telangana,Nalgonda,508285,2,0,0
25-11-2025,Telangana,Nalgonda,508373,0,1,0
25-11-2025,Telangana,Nalgonda,508374,1,0,0
25-11-2025,Telangana,Nalgonda,508377,1,1,0
15-12-2025,Telangana,Nalgonda,508114,3,0,0
15-12-2025,Telangana,Nalgonda,508212,1,0,0
15-12-2025,Telangana,Nalgonda,508213,3,0,0
15-12-2025,Telangana,Nalgonda,508222,1,0,0
15-12-2025,Telangana,Nalgonda,508246,1,0,0
22-12-2025,Telangana,Nalgonda,508111,2,0,0
22-12-2025,Telangana,Nalgonda,508113,1,0,0
22-12-2025,Telangana,Nalgonda,508114,3,0,0
22-12-2025,Telangana,Nalgonda,508211,2,0,0
22-12-2025,Telangana,Nalgonda,508217,2,0,0
22-12-2025,Telangana,Nalgonda,508246,1,0,0
22-12-2025,Telangana,Nalgonda,508248,6,0,0
22-12-2025,Telangana,Nalgonda,508250,2,0,0
22-12-2025,Telangana,Nalgonda,508252,1,0,0
22-12-2025,Telangana,Nalgonda,508253,1,0,0
22-12-2025,Telangana,Nalgonda,508376,2,0,0
21-12-2025,Telangana,Nalgonda,508114,2,0,0
21-12-2025,Telangana,Nalgonda,508247,1,0,0
21-12-2025,Telangana,Nalgonda,508250,1,0,0
21-12-2025,Telangana,Nalgonda,508377,1,0,0
24-12-2025,Telangana,Nalgonda,508213,1,0,0
24-12-2025,Telangana,Nalgonda,508255,1,0,0
24-12-2025,Telangana,Nalgonda,508258,1,0,0
24-12-2025,Telangana,Nalgonda,508377,1,0,0
23-12-2025,Telangana,Nalgonda,508001,11,0,0
23-12-2025,Telangana,Nalgonda,508250,2,0,0
23-12-2025,Telangana,Nalgonda,508253,1,0,0
23-12-2025,Telangana,Nalgonda,508266,3,0,0
23-12-2025,Telangana,Nalgonda,508377,2,0,0
26-12-2025,Telangana,Nalgonda,508004,1,0,0
26-12-2025,Telangana,Nalgonda,508115,2,0,0
26-12-2025,Telangana,Nalgonda,508126,1,0,0
26-12-2025,Telangana,Nalgonda,508221,1,0,0
26-12-2025,Telangana,Nalgonda,508243,1,0,0
26-12-2025,Telangana,Nalgonda,508244,1,0,0
26-12-2025,Telangana,Nalgonda,508255,2,0,0
26-12-2025,Telangana,Nalgonda,508258,1,0,0
27-12-2025,Telangana,Nalgonda,508207,4,0,0
27-12-2025,Telangana,Nalgonda,508248,1,0,0
27-12-2025,Telangana,Nalgonda,508250,3,1,0
27-12-2025,Telangana,Nalgonda,508355,2,0,0
27-12-2025,Telangana,Nalgonda,508377,1,0,0
25-12-2025,Telangana,Nalgonda,508115,1,0,0
25-12-2025,Telangana,Nalgonda,508205,1,0,0
25-12-2025,Telangana,Nalgonda,508217,2,0,0
25-12-2025,Telangana,Nalgonda,508244,1,1,0
25-12-2025,Telangana,Nalgonda,508247,1,0,0
25-12-2025,Telangana,Nalgonda,508257,1,0,0
25-12-2025,Telangana,Nalgonda,508266,1,0,0
25-12-2025,Telangana,Nalgonda,508377,0,1,0
29-12-2025,Telangana,Nalgonda,508111,2,0,0
29-12-2025,Telangana,Nalgonda,508113,0,1,0
29-12-2025,Telangana,Nalgonda,508238,2,0,0
29-12-2025,Telangana,Nalgonda,508355,4,0,0
28-12-2025,Telangana,Nalgonda,508105,1,1,0
28-12-2025,Telangana,Nalgonda,508210,0,1,0
28-12-2025,Telangana,Nalgonda,508221,1,1,0
28-12-2025,Telangana,Nalgonda,508244,1,1,0
28-12-2025,Telangana,Nalgonda,508248,1,2,0
28-12-2025,Telangana,Nalgonda,508253,1,0,0
28-12-2025,Telangana,Nalgonda,508258,1,0,0
28-12-2025,Telangana,Nalgonda,508284,1,0,0
01-01-2026,Telangana,Nalgonda,508105,1,1,0
01-01-2026,Telangana,Nalgonda,508114,4,2,0
01-01-2026,Telangana,Nalgonda,508250,3,1,0
01-01-2026,Telangana,Nalgonda,508252,1,0,0
01-01-2026,Telangana,Nalgonda,508278,3,0,0
01-01-2026,Telangana,Nalgonda,508284,4,0,0
01-01-2026,Telangana,Nalgonda,508285,1,0,0
01-01-2026,Telangana,Nalgonda,508374,1,0,0
31-12-2025,Telangana,Nalgonda,508112,0,1,0
31-12-2025,Telangana,Nalgonda,508126,1,2,0
31-12-2025,Telangana,Nalgonda,508203,1,0,0
31-12-2025,Telangana,Nalgonda,508247,2,0,0
31-12-2025,Telangana,Nalgonda,508257,3,2,0
31-12-2025,Telangana,Nalgonda,508258,2,1,0
31-12-2025,Telangana,Nalgonda,508284,2,0,0
02-01-2026,Telangana,Nalgonda,508001,2,1,0
02-01-2026,Telangana,Nalgonda,508205,2,1,0
02-01-2026,Telangana,Nalgonda,508218,1,0,0
02-01-2026,Telangana,Nalgonda,508250,1,0,0
02-01-2026,Telangana,Nalgonda,508255,2,0,0
09-06-2025,Telangana,Nalgonda,508112,0,1,0
09-06-2025,Telangana,Nalgonda,508201,1,0,0
09-06-2025,Telangana,Nalgonda,508213,7,3,0
09-06-2025,Telangana,Nalgonda,508223,2,0,0
